"requirement_id","priority","requirement_summary","design_ref","implementation_ref","verification_ref","status","evidence_or_gap"
"BMS-SR-001","P0","Reset期间PSTOP保持安全","TARGET_ARCHITECTURE §7; MASTER_PLAN §3","Planned: firmware/platform + actuator","OSC-PWR-001","Planned",""
"BMS-SR-002","P0","初始化失败不得释放功率路径","TARGET_ARCHITECTURE §6-7","Planned: firmware/domain/bms_safety","UT-SAF-001; IT-ACT-003","Planned",""
"BMS-SR-003","P0","关键任务或对象创建失败进入安全态","TARGET_ARCHITECTURE §4; §11","Planned: firmware/app/bms_startup","IT-WDG-002","Planned",""
"BMS-SR-004","P1","记录reset cause和版本/故障摘要","TARGET_ARCHITECTURE §11; §13","Planned: watchdog + nvm + telemetry","IT-WDG-003; HIL-WDG-002","Planned",""
"BMS-SR-005","P0","身份与配置验证前禁止功率路径","TARGET_ARCHITECTURE §7; §9","Planned: bq_service + bms_safety","IT-BQ-003; UT-SAF-003","Planned",""
"BMS-SR-010","P0","停充首动作同步断言PSTOP","TARGET_ARCHITECTURE §7.1","Planned: actuator_service","UT-ACT-001; OSC-PWR-002","Planned",""
"BMS-SR-011","P0","trip到PSTOP路径无总线/日志/分配","TARGET_ARCHITECTURE §6-7","Planned: actuator_service","A; UT-ACT-001","Planned",""
"BMS-SR-012","P0","仅SC service可释放PSTOP","TARGET_ARCHITECTURE §4.3; §10","Planned: sc_service permit","UT-SAF-004; IT-SC-002","Planned",""
"BMS-SR-013","P0","非执行器模块禁止直接控制功率GPIO","TARGET_ARCHITECTURE §2-3","tools/ci/check_forbidden_patterns.py (partial)","CI-ACT-001","In Progress","CI rule exists; actuator ownership scan to expand"
"BMS-SR-014","P0","禁止ALL_FETS_ON危险通用转换","TARGET_ARCHITECTURE §7.3; §9","Planned: bq_fet_controller","UT-ACT-004; OSC-PWR-003","Planned",""
"BMS-SR-015","P0","BQ FET命令有超时/回读/不一致故障","TARGET_ARCHITECTURE §7.3; §9","Planned: bq_service","IT-BQ-004; HIL-BQ-004","Planned",""
"BMS-SR-016","P0","启动最后释放PSTOP","TARGET_ARCHITECTURE §7.2","Planned: bms_safety + sc_service","UT-ACT-002; OSC-PWR-004","Planned",""
"BMS-SR-017","P0","停止失败保持安全并锁存故障","TARGET_ARCHITECTURE §7.1; §8","Planned: actuator + fault","UT-ACT-003; HIL-SC-004","Planned",""
"BMS-SR-018","P1","关键功率转换保存波形证据","VERIFICATION_PLAN §2.5","Planned: validation manifests","OSC-PWR-001..012","Planned",""
"BMS-SR-020","P0","BQ总线和间接窗口单一owner","TARGET_ARCHITECTURE §4.2; §9","Planned: bq_service","A; IT-BQ-005","Planned",""
"BMS-SR-021","P0","BQ间接访问为不可分割事务","TARGET_ARCHITECTURE §9","Planned: bq76952 driver","UT-BQ-001; IT-BQ-002","Planned",""
"BMS-SR-022","P0","BQ操作和轮询全部有绝对超时","TARGET_ARCHITECTURE §9.2","Planned: bq driver/service","UT-BQ-002; HIL-BQ-001","Planned",""
"BMS-SR-023","P0","首次transport失败终止当前采样","TARGET_ARCHITECTURE §9.2","Planned: bq acquisition","IT-BQ-001","Planned",""
"BMS-SR-024","P1","BQ恢复不改变地址/CRC/线序","TARGET_ARCHITECTURE §9.2","Planned: bq service","UT-BQ-003","Planned",""
"BMS-SR-025","P0","安全Data Memory逐项回读","TARGET_ARCHITECTURE §9; MASTER_PLAN §7","Planned: bq config manager","IT-BQ-003; HIL-BQ-002","Planned",""
"BMS-SR-026","P0","配置不匹配锁存CONFIG_INVALID","TARGET_ARCHITECTURE §8-9","Planned: bq config + fault","UT-SAF-003; IT-BQ-003","Planned",""
"BMS-SR-027","P1","BQ配置版本和指纹可查询","TARGET_ARCHITECTURE §9; §13","Planned: config + telemetry","UT-BQ-004; IT-CAN-002","Planned",""
"BMS-SR-028","P1","BQ driver无printf/策略/动态内存","CODING_STANDARD §14","tools/ci/check_forbidden_patterns.py; planned driver","CI-BQ-001","In Progress","Forbidden patterns implemented"
"BMS-SR-030","P0","SC配置仅在PSTOP安全态","TARGET_ARCHITECTURE §10","Planned: sc_service","UT-SC-001; IT-SC-001","Planned",""
"BMS-SR-031","P0","释放PSTOP前验证SC关键条件","TARGET_ARCHITECTURE §10","Planned: sc_service","UT-SC-002; HIL-SC-002","Planned",""
"BMS-SR-032","P0","运行期不得自动交换SDA/SCL","ADR-001","Planned: sc8815 software-I2C driver","UT-SC-003; HIL-SC-001","Planned","Hardware wiring frozen by ADR-001"
"BMS-SR-033","P1","SC总线有超时和显式恢复","ADR-001; TARGET_ARCHITECTURE §10","Planned: sc driver","UT-SC-004; IT-SC-003","Planned",""
"BMS-SR-034","P1","运行中不周期重写模拟配置","TARGET_ARCHITECTURE §10","Planned: sc service","IT-SC-004","Planned",""
"BMS-SR-035","P0","SC故障/失联/permit过期保持PSTOP安全","TARGET_ARCHITECTURE §10","Planned: sc permit + safety","UT-SAF-004; IT-SC-002","Planned",""
"BMS-SR-040","P0","保护输入含valid/stale/source/timestamp","TARGET_ARCHITECTURE §5","Planned: bms_snapshot","UT-SNAP-001","Planned",""
"BMS-SR-041","P0","无效/陈旧单体不得参与正常许可","TARGET_ARCHITECTURE §5-6","Planned: bms_safety","UT-SAF-001; UT-SAF-007","Planned",""
"BMS-SR-042","P0","双温感失效禁止充电和均衡","TARGET_ARCHITECTURE §5; MASTER_PLAN §9","Planned: thermal quality + safety","UT-SAF-002; HIL-THERM-001","Planned",""
"BMS-SR-043","P1","不同测量故障使用不同fault ID","TARGET_ARCHITECTURE §8","Planned: fault catalog","UT-FLT-010","Planned",""
"BMS-SR-044","P0","单体映射配置化并逐通道验证","MASTER_PLAN §7; hardware_rules","Planned: bq profile","UT-BQ-005; HIL-BQ-003","Planned",""
"BMS-SR-045","P1","电流极性/采样电阻/增益双向标定","VERIFICATION_PLAN §2.4","Planned: calibration","HIL-BQ-005","Planned",""
"BMS-SR-046","P0","快速保护用定点整数","CODING_STANDARD §11","Planned: safety/policy","CI-SAF-001; UT-SAF-008","Planned",""
"BMS-SR-047","P1","每个安全测量定义最大年龄","TARGET_ARCHITECTURE §5","Planned: product config + snapshot","UT-SNAP-002","Planned",""
"BMS-SR-050","P0","故障定义严重度/去抖/动作/恢复/锁存","TARGET_ARCHITECTURE §8","firmware/domain/bms_fault.c/.h","UT-FLT-001..007","In Progress","Local GCC14 strict build and CTest 1/1 pass"
"BMS-SR-051","P0","关键故障至少latched trip","TARGET_ARCHITECTURE §8","Planned: fault catalog","UT-FLT-011","Planned",""
"BMS-SR-052","P0","clear需条件恢复且生产CLI不可直清","TARGET_ARCHITECTURE §8.3; §13","BmsFault_RequestClear implemented; auth planned","UT-FLT-005; IT-DIAG-001","In Progress","Raw/active clear guard tested"
"BMS-SR-053","P1","故障边沿记录时间/快照/动作结果","TARGET_ARCHITECTURE §8","Runtime timestamps implemented; event record planned","UT-FLT-004; IT-SAF-001","In Progress","Fault timestamps implemented"
"BMS-SR-054","P1","故障计数饱和不回绕","CODING_STANDARD §11","add_u32_saturated in bms_fault.c","UT-FLT-008","In Progress","Implementation exists; explicit saturation test pending"
"BMS-SR-055","P0","未知状态映射安全动作","TARGET_ARCHITECTURE §6; §8","Planned: bms_safety","UT-SAF-009","Planned",""
"BMS-SR-060","P0","仅完整shutdown provenance允许wake-charge","TARGET_ARCHITECTURE §7; MASTER_PLAN §6.3","Planned: shutdown state machine","UT-SAF-006; HIL-BQ-006","Planned",""
"BMS-SR-061","P0","普通BQ故障不得wake-charge","TARGET_ARCHITECTURE §7","Planned: shutdown state machine","UT-SAF-005; HIL-BQ-001","Planned",""
"BMS-SR-062","P0","wake-charge绝对超时并锁存失败","TARGET_ARCHITECTURE §7","Planned: shutdown state machine","UT-SAF-010; HIL-BQ-006","Planned",""
"BMS-SR-063","P0","BQ恢复后重验身份/配置/状态","TARGET_ARCHITECTURE §7; §9","Planned: bq recovery","IT-BQ-006; HIL-BQ-006","Planned",""
"BMS-SR-064","P1","NVM flush失败不阻止安全关断","TARGET_ARCHITECTURE §12","Planned: shutdown + nvm","UT-NVM-001; HIL-NVM-001","Planned",""
"BMS-SR-070","P0","RTOS对象静态分配","MASTER_PLAN §5; CODING_STANDARD §13","Planned: bms_tasks","CI-RTOS-001; IT-WDG-004","Planned","Legacy currently uses dynamic creation"
"BMS-SR-071","P0","开启stack overflow和malloc hook","MASTER_PLAN §5; CODING_STANDARD §13","Planned: FreeRTOSConfig + hooks outside generated HAL","IT-WDG-005","Planned",""
"BMS-SR-072","P0","仅Safety Supervisor刷新IWDG","TARGET_ARCHITECTURE §11","Planned: watchdog_service","UT-WDG-001; HIL-WDG-001","Planned",""
"BMS-SR-073","P0","关键heartbeat过期停止许可并复位","TARGET_ARCHITECTURE §11","Planned: watchdog_service","IT-WDG-001; HIL-WDG-001","Planned",""
"BMS-SR-074","P1","记录deadline miss和最小栈","TARGET_ARCHITECTURE §11","Planned: task health","IT-WDG-006","Planned",""
"BMS-SR-075","P1","时间差处理32位回绕","CODING_STANDARD §11","Planned: common time helpers","UT-TIME-001","Planned",""
"BMS-SR-076","P0","安全任务不被UART/NVM/CAN/OLED阻塞","TARGET_ARCHITECTURE §4.1; §6","Planned: services separation","CI-SAF-002; IT-SAF-002","Planned",""
"BMS-SR-077","P1","测量最长全局关中断时间","VERIFICATION_PLAN §6; ADR-001","Planned: instrumentation","HIL-TIME-001; OSC-TIME-001","Planned",""
"BMS-SR-080","P0","driver和safety禁止阻塞stdio/UART","CODING_STANDARD §10; §14","tools/ci/check_forbidden_patterns.py","CI-DIAG-001","In Progress","printf family banned in firmware/"
"BMS-SR-081","P1","日志有界缓冲和drop count","TARGET_ARCHITECTURE §4.6; §13","Planned: diagnostic_service","UT-DIAG-001; IT-DIAG-002","Planned",""
"BMS-SR-082","P0","生产构建无危险控制命令","MASTER_PLAN §3.5; TARGET_ARCHITECTURE §13","Planned: build config + CLI replacement","CI-DIAG-002; binary scan","Planned",""
"BMS-SR-083","P1","CAN发送有效性和协议版本","TARGET_ARCHITECTURE §4.4; §13","Planned: protocol/bms_can_protocol","UT-CAN-001; IT-CAN-002","Planned",""
"BMS-SR-084","P1","CAN拥塞/bus-off不反压安全任务","TARGET_ARCHITECTURE §4.4","Planned: CanTask","IT-CAN-001; HIL-CAN-001","Planned",""
"BMS-SR-085","P0","工程危险操作有物理授权/解锁/超时/审计","MASTER_PLAN §11.3","Planned: maintenance service","UT-DIAG-003; IT-DIAG-001","Planned",""
"BMS-SR-090","P1","电流无效或interval超限时SOC不积分","MASTER_PLAN §9.1","Planned: domain/bms_soc","UT-SOC-001","Planned",""
"BMS-SR-091","P1","SOC锚点使用事件和截止前条件","MASTER_PLAN §9.1","Planned: domain/bms_soc","UT-SOC-002; IT-PWR-001","Planned",""
"BMS-SR-092","P1","SOC/SOH输出有效性和置信度","MASTER_PLAN §9","Planned: bms_soc/bms_soh","UT-SOC-003; UT-SOH-001","Planned",""
"BMS-SR-093","P1","SOH学习遇复位/缺口/异常取消","MASTER_PLAN §9.2","Planned: domain/bms_soh","UT-SOH-002","Planned",""
"BMS-SR-094","P0","均衡需有效温度/单体/配置/无故障","MASTER_PLAN §9.3","Planned: balance policy","UT-BAL-001; HIL-THERM-001","Planned",""
"BMS-SR-095","P1","均衡mask遵守BQ限制并回读","MASTER_PLAN §9.3","Planned: balance policy + bq service","UT-BAL-002; IT-BQ-007","Planned",""
"BMS-SR-100","P1","NVM记录含magic/version/length/sequence/CRC","TARGET_ARCHITECTURE §12","Planned: nvm codec V2","UT-NVM-002","Planned","Legacy has partial equivalent"
"BMS-SR-101","P1","掉电不破坏上一有效记录","TARGET_ARCHITECTURE §12","Planned: nvm service V2","UT-NVM-003; HIL-NVM-001","Planned","Legacy dual-slot design to migrate"
"BMS-SR-102","P1","写后回读且失败不切active slot","TARGET_ARCHITECTURE §12","Planned: nvm service V2","UT-NVM-004; HIL-NVM-002","Planned",""
"BMS-SR-103","P1","持久化显式序列化","CODING_STANDARD §16","Planned: nvm codec V2","CI-NVM-001; UT-NVM-002","Planned",""
"BMS-SR-104","P1","EEPROM离线不阻塞安全动作","TARGET_ARCHITECTURE §4.5; §12","Planned: NvmTask","IT-NVM-001; HIL-NVM-003","Planned",""
"BMS-SR-110","P1","CI禁止修改HAL/CMSIS/vendor生成目录","MASTER_PLAN §13","tools/ci/check_generated_unchanged.py","CI-POLICY-001","Implemented / CI pending","Workflow committed"
"BMS-SR-111","P1","GCC Debug/Release warnings-as-errors","CODING_STANDARD §20","Host V2 uses Werror; target legacy build gate added","CI-BUILD-001; CI-BUILD-002","In Progress","Full target Werror deferred until legacy migration"
"BMS-SR-112","P1","domain不得依赖HAL/FreeRTOS","TARGET_ARCHITECTURE §2-3","tools/ci/check_forbidden_patterns.py","CI-POLICY-002","Implemented / CI pending",""
"BMS-SR-113","P1","公共安全API记录契约","CODING_STANDARD §7","bms_fault.h follows contract; lint planned","CI-DOC-001; A","In Progress",""
"BMS-SR-114","P1","每个P0/P1关联设计和测试","MASTER_PLAN §13; this matrix","docs/refactor/TRACEABILITY_MATRIX.csv","CI-TRACE-001","In Progress","Initial matrix created"
"BMS-SR-115","P1","发布无未追踪TODO/FIXME/HACK","CODING_STANDARD §8","tools/ci/check_forbidden_patterns.py","CI-POLICY-003","Implemented / CI pending",""
"BMS-SR-116","P2","报告Flash/RAM和任务栈预算","VERIFICATION_PLAN §6","Target build logs; stack tooling planned","CI-SIZE-001; HIL-WDG-006","In Progress","Root CMake already prints memory usage"
"BMS-SR-117","P1","main仅经审核PR合并","MASTER_PLAN §16","Draft PR #2; branch policy pending","Process review","In Progress","Main unchanged; draft PR active"
