Designator,Pin,PinName,Net,Category,Description
U9,1,,$3N120,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,2,,$3N120,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,3,,$3N120,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,4,,$3N120,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,5,,$3N125,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,6,,$3N125,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,7,,$3N125,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,8,,$3N123,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,9,,$3N123,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,10,,$3N123,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,11,,$3N121,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,12,,$3N121,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,13,,$3N121,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,14,,$3N121,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,15,,$3N94,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,16,,$3N100,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,17,,GND,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,18,,$3N158,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,19,,,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,20,,$3N159,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,21,,$3N189,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,22,,BMS_WAKE,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,23,,$3N193,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,24,,BMS_CHIP_ONLINE,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,25,,MUC_EXTI4_PB4_BMS_INT,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,26,,$3N320,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
