Designator,Pin,PinName,Net,Category,Description
CN1,1,,CELL0,连接器,类别:-;类型1:-;
CN1,2,,CELL6,连接器,类别:-;类型1:-;
CN1,3,,,连接器,类别:-;类型1:-;
CN1,4,,,连接器,类别:-;类型1:-;
B1,1,,CELL6,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B1,2,,CELL5,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B2,1,,CELL5,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B2,2,,CELL4,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B3,1,,CELL4,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B3,2,,CELL3,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B4,1,,CELL3,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B4,2,,CELL2,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B5,1,,CELL2,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B5,2,,CELL1,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B6,1,,CELL1,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
B6,2,,CELL0,其他,连接器类型:电池盒;适用电池规格:5号;触头镀层:镍;工作温度:-10℃~+100℃;
CN3,1,,CELL6,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,2,,CELL5,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,3,,CELL4,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,4,,CELL3,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,5,,CELL2,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,6,,CELL1,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
CN3,7,,CELL0,连接器,插针结构:1x7P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:7P;排数:1;每排PIN数:7;额定电流:3A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;
SCREW1,1,,GND,其他,
SCREW2,1,,GND,其他,
SCREW3,1,,GND,其他,
SCREW4,1,,GND,其他,
